series,k,m,theta_ops,theta_over_k,theta_over_k_lnk,schema_version,prov_id
m-of-k fixed m=5,38,5,27.1422,0.7143,0.1964,1,1d478b3dd653a6b1
m-of-k fixed m=5,39,5,27.1007,0.6949,0.1897,1,1d478b3dd653a6b1
m-of-k fixed m=5,40,5,27.0616,0.6765,0.1834,1,1d478b3dd653a6b1
m-of-k proportional-50,2,1,8.3991,4.1995,6.0586,1,1d478b3dd653a6b1
m-of-k proportional-50,3,2,16.8211,5.6070,5.1037,1,1d478b3dd653a6b1
m-of-k proportional-50,4,2,15.6096,3.9024,2.8150,1,1d478b3dd653a6b1
m-of-k proportional-50,5,3,23.3358,4.6672,2.8999,1,1d478b3dd653a6b1
m-of-k proportional-50,6,3,21.9425,3.6571,2.0411,1,1d478b3dd653a6b1
m-of-k proportional-50,7,4,29.2468,4.1781,2.1471,1,1d478b3dd653a6b1
m-of-k proportional-50,8,4,27.8236,3.4779,1.6725,1,1d478b3dd653a6b1
m-of-k proportional-50,9,5,34.8428,3.8714,1.7620,1,1d478b3dd653a6b1
m-of-k proportional-50,10,5,33.4268,3.3427,1.4517,1,1d478b3dd653a6b1
m-of-k proportional-50,11,6,40.2379,3.6580,1.5255,1,1d478b3dd653a6b1
m-of-k proportional-50,12,6,38.8397,3.2366,1.3025,1,1d478b3dd653a6b1
m-of-k proportional-50,13,7,45.4905,3.4993,1.3643,1,1d478b3dd653a6b1
m-of-k proportional-50,14,7,44.1124,3.1509,1.1939,1,1d478b3dd653a6b1
m-of-k proportional-50,15,8,50.6351,3.3757,1.2465,1,1d478b3dd653a6b1
m-of-k proportional-50,16,8,49.2769,3.0798,1.1108,1,1d478b3dd653a6b1
m-of-k proportional-50,17,9,55.6941,3.2761,1.1563,1,1d478b3dd653a6b1
m-of-k proportional-50,18,9,54.3546,3.0197,1.0447,1,1d478b3dd653a6b1
m-of-k proportional-50,19,10,60.6830,3.1938,1.0847,1,1d478b3dd653a6b1
m-of-k proportional-50,20,10,59.3610,2.9680,0.9908,1,1d478b3dd653a6b1
m-of-k proportional-50,21,11,65.6133,3.1244,1.0263,1,1d478b3dd653a6b1
m-of-k proportional-50,22,11,64.3072,2.9231,0.9457,1,1d478b3dd653a6b1
m-of-k proportional-50,23,12,70.4934,3.0649,0.9775,1,1d478b3dd653a6b1
m-of-k proportional-50,24,12,69.2019,2.8834,0.9073,1,1d478b3dd653a6b1
m-of-k proportional-50,25,13,75.3301,3.0132,0.9361,1,1d478b3dd653a6b1
m-of-k proportional-50,26,13,74.0520,2.8482,0.8742,1,1d478b3dd653a6b1
m-of-k proportional-50,27,14,80.1285,2.9677,0.9004,1,1d478b3dd653a6b1
m-of-k proportional-50,28,14,78.8627,2.8165,0.8452,1,1d478b3dd653a6b1
m-of-k proportional-50,29,15,84.8930,2.9273,0.8693,1,1d478b3dd653a6b1
m-of-k proportional-50,30,15,83.6387,2.7880,0.8197,1,1d478b3dd653a6b1
m-of-k proportional-50,31,16,89.6272,2.8912,0.8419,1,1d478b3dd653a6b1
m-of-k proportional-50,32,16,88.3834,2.7620,0.7969,1,1d478b3dd653a6b1
m-of-k proportional-50,33,17,94.3340,2.8586,0.8176,1,1d478b3dd653a6b1
m-of-k proportional-50,34,17,93.1000,2.7382,0.7765,1,1d478b3dd653a6b1
m-of-k proportional-50,35,18,99.0159,2.8290,0.7957,1,1d478b3dd653a6b1
m-of-k proportional-50,36,18,97.7909,2.7164,0.7580,1,1d478b3dd653a6b1
m-of-k proportional-50,37,19,103.6750,2.8020,0.7760,1,1d478b3dd653a6b1
m-of-k proportional-50,38,19,102.4586,2.6963,0.7412,1,1d478b3dd653a6b1
m-of-k proportional-50,39,20,108.3133,2.7773,0.7581,1,1d478b3dd653a6b1
m-of-k proportional-50,40,20,107.1048,2.6776,0.7259,1,1d478b3dd653a6b1
m-of-k proportional-30,2,1,8.3991,4.1995,6.0586,1,1d478b3dd653a6b1
m-of-k proportional-30,3,1,8.3991,2.7997,2.5484,1,1d478b3dd653a6b1
m-of-k proportional-30,4,2,15.6096,3.9024,2.8150,1,1d478b3dd653a6b1
m-of-k proportional-30,5,2,15.0167,3.0033,1.8661,1,1d478b3dd653a6b1
m-of-k proportional-30,6,2,14.6655,2.4443,1.3642,1,1d478b3dd653a6b1
m-of-k proportional-30,7,3,21.0997,3.0142,1.5490,1,1d478b3dd653a6b1
m-of-k proportional-30,8,3,20.5344,2.5668,1.2344,1,1d478b3dd653a6b1
m-of-k proportional-30,9,3,20.1287,2.2365,1.0179,1,1d478b3dd653a6b1
m-of-k proportional-30,10,3,19.8233,1.9823,0.8609,1,1d478b3dd653a6b1
m-of-k proportional-30,11,4,25.6275,2.3298,0.9716,1,1d478b3dd653a6b1
m-of-k proportional-30,12,4,25.2112,2.1009,0.8455,1,1d478b3dd653a6b1
m-of-k proportional-30,13,4,24.8757,1.9135,0.7460,1,1d478b3dd653a6b1
m-of-k proportional-30,14,5,30.4803,2.1772,0.8250,1,1d478b3dd653a6b1
m-of-k proportional-30,15,5,30.0646,2.0043,0.7401,1,1d478b3dd653a6b1
m-of-k proportional-30,16,5,29.7152,1.8572,0.6698,1,1d478b3dd653a6b1
m-of-k proportional-30,17,6,35.1736,2.0690,0.7303,1,1d478b3dd653a6b1
m-of-k proportional-30,18,6,34.7617,1.9312,0.6682,1,1d478b3dd653a6b1
m-of-k proportional-30,19,6,34.4057,1.8108,0.6150,1,1d478b3dd653a6b1
m-of-k proportional-30,20,6,34.0948,1.7047,0.5691,1,1d478b3dd653a6b1
m-of-k proportional-30,21,7,39.3439,1.8735,0.6154,1,1d478b3dd653a6b1
m-of-k proportional-30,22,7,38.9849,1.7720,0.5733,1,1d478b3dd653a6b1
m-of-k proportional-30,23,7,38.6657,1.6811,0.5362,1,1d478b3dd653a6b1
m-of-k proportional-30,24,8,43.8371,1.8265,0.5747,1,1d478b3dd653a6b1
m-of-k proportional-30,25,8,43.4769,1.7391,0.5403,1,1d478b3dd653a6b1
m-of-k proportional-30,26,8,43.1523,1.6597,0.5094,1,1d478b3dd653a6b1
m-of-k proportional-30,27,9,48.2588,1.7874,0.5423,1,1d478b3dd653a6b1
m-of-k proportional-30,28,9,47.8986,1.7107,0.5134,1,1d478b3dd653a6b1
m-of-k proportional-30,29,9,47.5704,1.6404,0.4871,1,1d478b3dd653a6b1
m-of-k proportional-30,30,9,47.2702,1.5757,0.4633,1,1d478b3dd653a6b1
m-of-k proportional-30,31,10,52.2618,1.6859,0.4909,1,1d478b3dd653a6b1
m-of-k proportional-30,32,10,51.9313,1.6229,0.4683,1,1d478b3dd653a6b1
m-of-k proportional-30,33,10,51.6265,1.5644,0.4474,1,1d478b3dd653a6b1
m-of-k proportional-30,34,11,56.5756,1.6640,0.4719,1,1d478b3dd653a6b1
m-of-k proportional-30,35,11,56.2435,1.6070,0.4520,1,1d478b3dd653a6b1
m-of-k proportional-30,36,11,55.9352,1.5538,0.4336,1,1d478b3dd653a6b1
m-of-k proportional-30,37,12,60.8468,1.6445,0.4554,1,1d478b3dd653a6b1
m-of-k proportional-30,38,12,60.5138,1.5925,0.4378,1,1d478b3dd653a6b1
m-of-k proportional-30,39,12,60.2029,1.5437,0.4214,1,1d478b3dd653a6b1
m-of-k proportional-30,40,12,59.9118,1.4978,0.4060,1,1d478b3dd653a6b1
